Entry Order,Block,Patch,Corner,Dist,Species,2015 Survival Status,Position,Alive?,Repro Status,Recruit Count,Subset?,Quandrant?,Notes,Location_Info_Incorrect (1 = incorrect)
309,8,D,III,d,NG,1,8,1,0,0,,,,
310,8,D,III,d,AV,1,9,1,1,3,,,,
407,8,E,III,b,CB,1,6,0,,5,,,dead with recruit nearby,
312,8,D,IV,a,LE,0,2,0,,0,,,,
313,8,D,IV,a,GD,0,3,0,,0,,,,
314,8,D,IV,a,AV,0,5,0,,0,,,,
315,8,D,IV,a,CB,0,6,0,,0,,,,
316,8,D,IV,a,NG,1,7,1,1,0,,,,
317,8,D,IV,a,SS,1,8,1,0,0,,,,
318,8,D,IV,b,NG,1,1,1,0,0,,,,
319,8,D,IV,b,SS,1,3,1,1,0,,,,
320,8,D,IV,b,CB,0,4,0,,0,,,,
321,8,D,IV,b,AB,1,5,1,0,0,,,,
322,8,D,IV,b,AV,1,6,1,1,0,,,,
323,8,D,IV,b,LE,0,7,0,,0,,,,
324,8,D,IV,b,GD,1,8,1,,,,,,
325,8,D,IV,c,AV,1,1,1,1,0,,,,
326,8,D,IV,c,GD,0,2,0,,,,,,
327,8,D,IV,c,NG,1,3,1,1,0,,,,
2361,53S,C,I,a,LE,1,2,1,0,23,,,Difficult to get good count of brown LE. I think I was able to but if leaves have already detached /decomposed I can't be sure,
1837,53N,B,II,b,CB,1,7,1,1,13,1,2,"Fairly brown, no green basal leaves, stem still slightly green",
237,8,D,I,b,SS,0,5,1,1,103,,,forgot to subset,
2203,53N,E,III,b,AV,1,7,1,0,6,,,Founder partially overgrown by Andropogon spp.,
332,8,D,IV,d,AV,1,1,1,1,4,,,,
333,8,D,IV,d,NG,1,3,1,1,0,,,,
334,8,D,IV,d,GD,0,4,1,,,,,,
335,8,D,IV,d,CB,1,5,1,1,23,,,,
336,8,D,IV,d,SS,1,6,1,1,0,,,,
337,8,D,IV,d,AB,1,7,1,0,22,,,,
338,8,D,IV,d,LE,0,8,0,,0,,,,
339,8,E,I,a,AB,1,2,1,0,0,,,,
340,8,E,I,a,LE,1,3,0,,0,,,,
341,8,E,I,a,CB,1,4,0,,0,,,,
342,8,E,I,a,SS,0,5,0,,0,,,,
343,8,E,I,a,NG,1,6,1,1,0,,,,
344,8,E,I,a,AV,1,7,1,1,0,,,,
345,8,E,I,a,GD,0,8,0,,,,,,
346,8,E,I,b,SS,0,1,0,,0,,,,
347,8,E,I,b,AV,1,3,1,1,1,,,,
348,8,E,I,b,LE,0,4,0,,0,,,,
349,8,E,I,b,GD,1,5,0,,0,,,,
350,8,E,I,b,AB,1,6,1,0,1,,,,
351,8,E,I,b,NG,1,7,1,1,0,,,,
352,8,E,I,b,CB,0,8,0,,0,,,,
353,8,E,I,c,SS,0,2,0,,0,,,,
354,8,E,I,c,CB,1,3,1,1,0,,,,
355,8,E,I,c,AB,1,4,1,0,0,,,,
356,8,E,I,c,GD,0,5,0,,0,,,,
357,8,E,I,c,AV,1,6,1,1,0,,,,
358,8,E,I,c,NG,1,7,1,0,0,,,,
359,8,E,I,c,LE,0,9,0,,0,,,,
360,8,E,I,d,AV,0,2,0,,0,,,,
361,8,E,I,d,SS,0,3,0,,0,,,,
362,8,E,I,d,LE,0,4,0,,2,,,,
363,8,E,I,d,GD,1,5,1,,,,,,
364,8,E,I,d,NG,1,6,1,1,0,,,,
365,8,E,I,d,CB,1,7,1,1,15,,,,
366,8,E,I,d,AB,0,8,0,,0,,,,
1184,52,D,III,a,GD,1,5,0,0,,,,herbicide?,
368,8,E,II,a,GD,0,3,0,,,,,,
2550,53S,D,III,d,CB,1,3,0,,0,,,Herbicided tree at place 4/3,
270,8,D,II,c,NG,1,2,0,,0,,,near herbicided woody stem,
877,10,E,IV,a,SS,0,6,0,,0,,,Hole in the ground where it should be,
2206,53N,E,III,c,AB,0,1,0,,0,,,"I couldn't find 3 of the orange flags, so I measured and made my best guess; it could be the opposite of where I put two of them",
122,8,C,I,b,CB,1,4,1,1,25,,,"In lines, decided not to subset",
374,8,E,II,b,GD,0,2,0,,,,,,
715,10,D,II,b,NG,1,6,0,,0,,,Large hole (hog damage?) from where 6 should be to about 100 cm toward corner,
2360,53S,C,I,a,CB,1,1,1,1,0,,,LE from today: Many brown after the drop in temps plus rain yesterday (MAB 11/10/2017),
328,8,D,IV,c,AB,1,4,1,0,2,1,2,lots more in quad. 1,
2369,53S,C,I,b,LE,0,4,0,,22,,,"Lots of brown LE recruits, difficult to count",
2150,53N,E,I,c,AV,1,1,1,1,0,,,Lots of herbicided trees in this plot,
2475,53S,D,I,a,AV,0,5,0,,0,,,"Lots of pine straw in this plot, so these founders are gone",
2545,53S,D,III,c,SS,0,6,0,,2,,,lots of SS out of 150 cm,
2427,53S,C,III,b,CB,1,7,1,0,0,,,near harvester ant mound,
3138,54S,E,IV,c,NG,1,9,0,,2,,,near herbicided resprout,
603,10,C,II,b,NG,1,6,0,,0,,,near herbicided resprout,
385,8,E,II,c,GD,1,7,1,,,,,,
697,10,D,I,c,SS,1,9,0,,0,,,near herbicided resprout,
1703,57,E,I,c,NG,1,6,0,,0,,,near herbicided sapling,
1140,52,D,I,c,GD,1,3,0,,,,,near herbicided stump,
389,8,E,II,d,CB,0,3,0,,1,,,,
1141,52,D,I,c,NG,1,4,0,,0,,,near herbicided stump,
391,8,E,II,d,GD,0,5,0,,,,,,
1142,52,D,I,c,CB,1,5,0,,10,,,near herbicided stump,
1566,57,C,IV,d,GD,1,1,0,,,,,near herbicided stump,
2746,54S,B,II,c,LE,0,8,0,,0,,,no recruit count?,
395,8,E,III,a,SS,1,1,1,1,0,,,,
396,8,E,III,a,AB,1,2,1,0,0,,,,
397,8,E,III,a,LE,1,3,0,,0,,,,
2749,54S,B,II,d,GD,0,3,0,,,,,no recruit count?,
399,8,E,III,a,NG,1,5,1,1,0,,,,
400,8,E,III,a,GD,1,7,0,,,,,,
401,8,E,III,a,AV,0,8,0,,0,,,,
402,8,E,III,b,SS,0,1,0,,0,,,,
403,8,E,III,b,LE,0,2,0,,0,,,,
404,8,E,III,b,GD,1,3,1,,0,,,,
808,10,E,I,c,AB,1,8,1,0,1,,,no seeds but stalks (old?),
406,8,E,III,b,AV,1,5,1,1,0,,,,
405,8,E,III,b,NG,1,4,1,1,0,,,old stalks,
408,8,E,III,b,AB,0,7,0,,0,,,,
409,8,E,III,c,AV,1,2,1,1,7,,,,
410,8,E,III,c,NG,0,3,0,,0,,,,
411,8,E,III,c,SS,0,4,0,,0,,,,
412,8,E,III,c,AB,1,6,1,0,0,,,,
413,8,E,III,c,GD,0,7,0,,,,,,
414,8,E,III,c,CB,0,8,0,,0,,,,
1781,57,E,IV,b,CB,1,8,1,1,0,,,out of alignment,
416,8,E,III,d,GD,0,2,0,,,,,,
417,8,E,III,d,AV,1,4,1,1,4,,,,
418,8,E,III,d,AB,1,5,1,0,0,,,,
419,8,E,III,d,CB,1,6,1,0,3,,,,
420,8,E,III,d,SS,1,7,1,1,1,,,,
421,8,E,III,d,LE,0,8,0,,0,,,,
422,8,E,III,d,NG,1,9,1,1,1,,,,
233,8,D,I,a,NG,1,7,1,1,0,,,potentially old flower stalk,
424,8,E,IV,a,GD,1,3,1,,,,,,
394,8,E,II,d,AB,1,9,1,0,,,,"probably damaged by herbicide, recruit count?",
74,8,B,III,c,NG,0,4,0,,,,,recruit count?,
120,8,C,I,b,SS,0,2,0,,,,,recruit count?,
121,8,C,I,b,AB,0,3,0,,,,,recruit count?,
125,8,C,I,b,LE,0,7,0,,,,,recruit count?,
430,8,E,IV,b,CB,1,2,1,0,10,1,3,,
431,8,E,IV,b,AV,1,3,1,1,1,,,,
432,8,E,IV,b,SS,1,4,1,1,3,,,,
433,8,E,IV,b,GD,1,5,1,,,,,,
130,8,C,I,c,LE,0,5,0,,,,,recruit count?,
435,8,E,IV,b,NG,1,7,1,1,0,,,,
133,8,C,I,c,NG,0,9,0,,,,,recruit count?,
437,8,E,IV,c,GD,0,2,0,,,,,,
134,8,C,I,d,NG,1,1,0,,,,,recruit count?,
439,8,E,IV,c,SS,1,4,1,1,0,,,,
440,8,E,IV,c,NG,1,5,1,1,0,,,,
441,8,E,IV,c,AV,1,6,1,1,4,,,,
442,8,E,IV,c,AB,1,8,1,0,0,,,,
443,8,E,IV,c,LE,1,9,1,0,0,,,,
444,8,E,IV,d,AV,1,2,1,1,8,,,,
445,8,E,IV,d,CB,1,3,1,1,12,,,,
446,8,E,IV,d,GD,0,4,0,,,,,,
135,8,C,I,d,SS,0,2,0,,,,,recruit count?,
448,8,E,IV,d,AB,1,8,1,0,3,,,,
449,8,E,IV,d,NG,1,7,1,0,1,,,,
450,8,E,IV,d,LE,1,9,1,0,1,,,,
451,10,B,I,a,SS,1,2,1,1,0,,,,
452,10,B,I,a,CB,1,3,1,0,0,,,,
453,10,B,I,a,AB,1,4,1,0,0,,,,
454,10,B,I,a,NG,1,5,1,0,0,,,,
455,10,B,I,a,GD,1,6,1,,,,,,
456,10,B,I,a,LE,1,7,1,0,0,,,,
457,10,B,I,a,AV,1,9,1,1,0,,,,
458,10,B,I,b,AV,1,1,1,1,0,,,,
459,10,B,I,b,SS,0,2,0,,0,,,,
460,10,B,I,b,LE,0,3,0,,0,,,,
461,10,B,I,b,CB,0,4,0,,0,,,,
462,10,B,I,b,NG,1,5,1,1,0,,,,
463,10,B,I,b,AB,1,7,1,0,0,,,,
464,10,B,I,b,GD,0,8,0,,,,,,
465,10,B,I,c,AB,1,2,1,0,5,,,,
466,10,B,I,c,AV,1,3,1,1,0,,,,
467,10,B,I,c,CB,1,4,1,1,14,,,,
468,10,B,I,c,LE,1,5,0,,0,,,,
469,10,B,I,c,GD,0,6,0,,,,,,
470,10,B,I,c,SS,1,7,1,1,0,,,,
471,10,B,I,c,NG,1,9,1,1,6,,,,
472,10,B,I,d,GD,0,1,0,,,,,,
473,10,B,I,d,AV,0,2,0,,0,,,,
474,10,B,I,d,CB,1,3,1,1,2,,,,
475,10,B,I,d,AB,0,4,0,,0,,,,
476,10,B,I,d,SS,1,5,1,1,5,,,,
477,10,B,I,d,NG,1,7,1,1,0,,,,
478,10,B,I,d,LE,0,8,0,,0,,,,
479,10,B,II,a,LE,0,2,0,,0,,,,
480,10,B,II,a,CB,1,3,1,0,0,,,,
